Category,count(Name),sum(Earnings),avg(Earnings)
Actors,176,7487.799999999999,42.54431818181818
Actresses,107,2079.0,19.429906542056074
Athletes,401,18110.199999999993,45.16259351620946
Authors,56,2865.6,51.17142857142857
Comedians,71,2482.5,34.96478873239437
Directors/Producers,66,5925.0,89.77272727272727
Hip-hop impresario,4,159.0,39.75
Magicians,11,497.0,45.18181818181818
Models,38,715.2,18.821052631578947
Musicians,419,22734.0,54.25775656324582
Personalities,224,13115.4,58.550892857142856
Television Acresses,1,43.0,43.0
Television actors,22,402.5,18.295454545454547
Television actresses,51,898.2,17.611764705882354
